ano,mes,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2020,NOVEMBRO,MARACANGALHA,BELEM,RESIDENCIA PARTICULAR,"-1,4199158","-48,4610392",20:40:00
2020,OUTUBRO,CREMACAO,BELEM,RESIDENCIA PARTICULAR,"-1,4652402","-48,4797698",22:00:00
2020,SETEMBRO,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3286451","-48,46724",02:15:00
2020,JANEIRO,REDUTO,BELEM,RESIDENCIA PARTICULAR,"-1,4483241","-48,4947792",12:00:00
2020,JULHO,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3390582","-48,4593846",15:30:00
2020,DEZEMBRO,PARQUE GUAJARA,ICOARACI,CONDOMINIO RESIDENCIAL,"-1,321894","-48,4504714",02:30:00
2020,NOVEMBRO,CASTANHEIRA,BELEM,RESIDENCIA PARTICULAR,"-1,4080574","-48,4305158",06:10:00
2020,JANEIRO,MANGUEIRAO,BELEM,RESIDENCIA PARTICULAR,-1.3525964,-48.4388981,00:00:00
2020,OUTUBRO,NAZARE,BELEM,RESIDENCIA PARTICULAR,,,11:00:00
2020,AGOSTO,SAO BRAS,BELEM,"CAFE, BAR, RESTAURANTE","-1,4562213","-48,4738512",02:30:00
2020,JULHO,SOUZA,BELEM,RESIDENCIA PARTICULAR,"-1,4360542","-48,4664476",04:00:00
2020,SETEMBRO,CASTANHEIRA,BELEM,"HOTEL, PENSAO, ETC","-1,402193","-48,4314836",10:45:00
2020,OUTUBRO,SOUZA,BELEM,HOTEL,"-1,406609","-48,4664287",20:30:00
2020,OUTUBRO,MARCO,BELEM,HOSPITAL,"-1,4316152","-48,4552853",00:00:00
2020,JUNHO,MARAMBAIA,BELEM,RESIDENCIA PARTICULAR,"-1,4060257","-48,4599336",16:40:00
2020,JUNHO,MARAMBAIA,BELEM,RESIDENCIA PARTICULAR,"-1,4021203","-48,4534034",09:10:00
2020,AGOSTO,SOUZA,BELEM,RESIDENCIA PARTICULAR,"-1,4147281","-48,449946",05:50:00
2020,MAIO,GUAMA,BELEM,RESIDENCIA PARTICULAR,"-1,4581341","-48,470768",00:30:00
2020,FEVEREIRO,SAO JOAO DO OUTEIRO,OUTEIRO,RESIDENCIA PARTICULAR,"-1,2647008","-48,4689361",03:00:00
2020,AGOSTO,UNA,BELEM,RESIDENCIA PARTICULAR,"-1,3710999","-48,4281658",10:00:00
2020,FEVEREIRO,PEDREIRA,BELEM,RESIDENCIA PARTICULAR,-1.4159185,-48.4690342,18:25:00
2020,JULHO,CRUZEIRO,ICOARACI,RESIDENCIA PARTICULAR,"-1,3057919","-48,4873234",11:45:00
2020,AGOSTO,CASTANHEIRA,BELEM,RESIDENCIA PARTICULAR,,,03:50:00
2020,JANEIRO,BARREIRO,BELEM,RESIDENCIA PARTICULAR,"-1,4150568","-48,493041",10:00:00
2020,JANEIRO,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3402832","-48,4701334",08:40:00
2020,OUTUBRO,MARACANGALHA,BELEM,RESIDENCIA PARTICULAR,,,08:00:00
2020,JUNHO,BATISTA CAMPOS,BELEM,RESIDENCIA PARTICULAR,"-1,4618833","-48,4880443",22:00:00
2020,ABRIL,PARQUE VERDE,BELEM,PREDIO,"-1,3626882","-48,4500286",20:00:00
2020,MAIO,MARAMBAIA,BELEM,RESIDENCIA PARTICULAR,"-1,3962307","-48,4437813",12:00:00
2020,NOVEMBRO,BATISTA CAMPOS,BELEM,RESIDENCIA PARTICULAR,"-1,4609237","-48,4901663",22:30:00
2020,NOVEMBRO,TAPANA,ICOARACI,VIA PUBLICA,"-1,3424684","-48,4757624",22:50:00
2020,NOVEMBRO,GUAMA,BELEM,RESIDENCIA PARTICULAR,"-1,4627383","-48,4718676",08:30:00
2020,OUTUBRO,TELEGRAFO SEM FIO,BELEM,RESIDENCIA PARTICULAR,"-1,4250458","-48,4822663",22:00:00
2020,DEZEMBRO,TENONE,ICOARACI,RESIDENCIA PARTICULAR,,,01:39:00
2020,MAIO,TENONE,ICOARACI,RESIDENCIA PARTICULAR,"-1,2720617","-48,4720638",02:30:00
2020,OUTUBRO,MARACACUERA,ICOARACI,"HOTEL, PENSAO, ETC","-1,3495751","-48,4668432",22:00:00
2020,JUNHO,UMARIZAL,BELEM,RESIDENCIA PARTICULAR,"-1,4399714","-48,4883263",02:30:00
